representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,Average linkage,3,0.8537756728597251,0.8537756728597251,1.0,1.0,0.7065410785381383
JDR,DBSCAN,3,0.8762898909709863,0.9889883708077115,0.78375,0.82375,0.5428312564824699
JDR,HDBSCAN,3,0.46432338985901334,0.8037428473194584,0.62125,0.7925,0.5240891780358817
Classical shape,K-medoids,3,0.8654547447336056,0.8654547447336056,1.0,1.0,0.2997052909031002
Classical shape,K-means,3,0.905689376795986,0.905689376795986,1.0,1.0,0.3560947352583938
Classical shape,Average linkage,3,0.6632153467233168,0.6632153467233168,1.0,1.0,0.010824871620867064
Classical shape,DBSCAN,3,0.9568364711468499,,0.7625,0.76625,0.07582621738945718
Classical shape,HDBSCAN,3,0.8973266214680634,0.9918733596805461,0.46875,0.49,0.1555168196269866
Classical full,K-medoids,3,0.46133436607653394,0.46133436607653394,1.0,1.0,0.41574826208177784
Classical full,K-means,3,0.991201187832051,0.991201187832051,1.0,1.0,0.4243320303405306
Classical full,Average linkage,3,1.0,1.0,1.0,1.0,0.010824871620867064
Classical full,DBSCAN,3,0.8587004912777075,,0.77125,0.78875,0.0887227310660907
Classical full,HDBSCAN,3,0.7547553314182436,0.9886964978056232,0.54,0.5975,0.29524674686883434
JDR,K-medoids,4,0.9932761327815993,0.9932761327815993,1.0,1.0,0.2814676802519757
JDR,K-means,4,0.9113318550536003,0.9113318550536003,1.0,1.0,0.28126031995280976
JDR,Average linkage,4,0.9478904654945939,0.9478904654945939,1.0,1.0,0.6622229382565008
JDR,DBSCAN,4,0.8917099979921362,0.9692757302022436,0.8075,0.84125,0.5370624817333146
JDR,HDBSCAN,4,0.4906444550429423,0.7979406200330049,0.5975,0.75125,0.45171412239009495
Classical shape,K-medoids,4,0.6676945800072183,0.6676945800072183,1.0,1.0,0.3010647205043298
Classical shape,K-means,4,0.5339572302434481,0.5339572302434481,1.0,1.0,0.4013968232485757
Classical shape,Average linkage,4,0.6632153467233168,0.6632153467233168,1.0,1.0,0.011073529369417587
Classical shape,DBSCAN,4,0.876864011681469,,0.76125,0.77875,0.10109607720826094
Classical shape,HDBSCAN,4,0.8683623328353682,1.0,0.4675,0.49375,0.16197887258342095
Classical full,K-medoids,4,0.3499439004456886,0.3499439004456886,1.0,1.0,0.36978341461513586
Classical full,K-means,4,0.9430388686265079,0.9430388686265079,1.0,1.0,0.4151570417907025
Classical full,Average linkage,4,1.0,1.0,1.0,1.0,0.011073529369417587
Classical full,DBSCAN,4,0.8438295366519233,,0.76625,0.7875,0.11300868090083865
Classical full,HDBSCAN,4,0.9213597289414348,0.974510013115171,0.545,0.55125,0.223810982988774
JDR,K-medoids,5,0.92636915109907,0.92636915109907,1.0,1.0,0.28211419206623556
JDR,K-means,5,0.9089856113524034,0.9089856113524034,1.0,1.0,0.2912876368329811
JDR,Average linkage,5,0.9512880095739888,0.9512880095739888,1.0,1.0,0.69461622382178
JDR,DBSCAN,5,0.92537577388511,0.973545762023257,0.81125,0.825,0.547235079634838
JDR,HDBSCAN,5,0.5218955165662027,0.78738964456281,0.65125,0.795,0.5026221860114417
Classical shape,K-medoids,5,0.945204706877613,0.945204706877613,1.0,1.0,0.3958707191979723
Classical shape,K-means,5,0.8863450043603297,0.8863450043603297,1.0,1.0,0.36457526383809175
Classical shape,Average linkage,5,0.49559913409879913,0.49559913409879913,1.0,1.0,0.012125232390830493
Classical shape,DBSCAN,5,0.9396226858975586,,0.775,0.78125,0.06884215922548972
Classical shape,HDBSCAN,5,0.8766377531131786,1.0,0.4875,0.51625,0.1779220511791158
Classical full,K-medoids,5,0.5172305312210366,0.5172305312210366,1.0,1.0,0.3631320605744643
Classical full,K-means,5,0.9456512441972417,0.9456512441972417,1.0,1.0,0.4656179376047417
Classical full,Average linkage,5,0.26302068377357396,0.26302068377357396,1.0,1.0,0.08547521668267676
Classical full,DBSCAN,5,0.9259165901395583,,0.7925,0.7975,0.08186558864178332
